Filename		C:\Users\tld\Desktop\Cs-137 .prm\Cs137 100 cm with collimator on long collection16Oct24.prm	
TimeStamp		10/16/2024 14:12:43	
Description		Cs-137 100 cm aligned to detector          plane collimator on	
Institution		UWMRRC	
Software Version		3.5.0.40	
Machine Setup:
Room			
Machine Type		Varian	
Machine Model		TrueBeam	
Machine Serial Number		2167	
Beam Type		Undefined	
Energy		-1	
Wedge Angle	deg	0	
Wedge Type	deg	None	
Gantry Angle	deg	0	
Collimator Angle	deg	0	
Collimator Left	cm	0	
Collimator Right	cm	0	
Collimator Top	cm	0	
Collimator Bottom	cm	0	
Rate	MU/min	0	
Dose	MU	0	
Field Size	MU	0 x 0	
Collector Setup:
Orientation		Y Axis	
Tray Mount		No	
SSD	cm	100.000	
Alignment	cm	Light Field	
Buildup	cm	0.000	
Buildup Type	cm	WaterEquiv	
Calibration File	cm	C:\SNC\Profiler\Factors\270794003\ArrayCalibration_6x_35x35.cal	
Collector Config:
Collector Model		IC PROFILER	
Collector Serial		270794003	
Collector Revision		L	
Firmware Version	ms	2.5.6	
Measurement Mode	ms	Continuous	
Nominal Gain	ms	4	
Collection Interval	ms	125	
General Analysis
CAX Dose		7.428388246	
Photon Wedge Angle		6.77864E0096	
Analysis Config		Custom	
Flatness type		Variance	
Symmetry Type		Area (sym)	
Energy Calibration			
Energy Analysis		Intercept	
Penumbra Top		80	
Penumbra Bottom		20	
Flatness Field Percent		80	
Symmetry Field Percent		80	
Base Intensity Point		MAX	
Intensity Field Percentage		50	
X Axis Analysis
Field Size	cm	13.0062	
Beam Center	cm	-1.52711	
Light/Rad Coinc. Bottom	cm	-1.96977	
Light/Rad Coinc. Top	cm	-5.02398	
Penumbra Bottom	cm	2.1003	
Penumbra Top	cm	2.33181	
Flatness Result	perc	9.31031	
Symmetry Result	perc	2.00726	
Electron Energy	Ep0		
Electron Energy	D80		
Y Axis Analysis
Field Size	cm	12.671	
Beam Center	cm	-0.205451	
Light/Rad Coinc. Bottom	cm	-3.45907	
Light/Rad Coinc. Top	cm	-3.86997	
Penumbra Bottom	cm	2.07721	
Penumbra Top	cm	1.9332	
Flatness Result	perc	10.7364	
Symmetry Result	perc	0.501878	
Electron Energy	Ep0		
Electron Energy	D80		
Positive Diagonal Analysis
Field Size	cm	12.9437	
Beam Center	cm	-1.1889	
Light/Rad Coinc. Bottom	cm	-6.48138	
Light/Rad Coinc. Top	cm	-8.85918	
Penumbra Bottom	cm	2.59584	
Penumbra Top	cm	2.15441	
Flatness Result	perc	9.96332	
Symmetry Result	perc	4.06985	
Electron Energy	Ep0		
Electron Energy	D80		
Negative Diagonal Analysis
Field Size	cm	12.928	
Beam Center	cm	-0.972349	
Light/Rad Coinc. Bottom	cm	-6.70576	
Light/Rad Coinc. Top	cm	-8.65046	
Penumbra Bottom	cm	2.40932	
Penumbra Top	cm	2.48285	
Flatness Result	perc	12.731	
Symmetry Result	perc	-0.857948	
Electron Energy	Ep0		
Electron Energy	D80		
Measured Data:	Total Dose-Normalized (%)
Pulses:		0
TimerTics	(1 uSec)	417375685

Detector ID	X Axis Position(cm)	Set 1
	-16.00	2.09953733	
	-15.50	-2.86364685	
	-15.00	-5.86180033	
	-14.50	-1.64285403	
	-14.00	2.35185741	
	-13.50	1.57930192	
	-13.00	-0.90203470	
	-12.50	-8.45301526	
	-12.00	-2.19071295	
	-11.50	-0.52503485	
	-11.00	-4.41205032	
	-10.50	1.20440060	
	-10.00	3.17637891	
	-9.50	12.20770942	
	-9.00	26.82553254	
	-8.50	40.61734755	
	-8.00	57.80963013	
	-7.50	74.35267273	
	-7.00	87.12018202	
	-6.50	100.30970137	
	-6.00	95.60069287	
	-5.50	95.34804463	
	-5.00	99.73020680	
	-4.50	102.79099529	
	-4.00	107.20718266	
	-3.50	94.59649072	
	-3.00	101.03699102	
	-2.50	100.77301869	
	-2.00	100.36230905	
	-1.50	105.16707603	
	-1.00	104.81174643	
	0.00	100.00000000	
	1.00	101.11915229	
	1.50	108.79763962	
	2.00	105.06364187	
	2.50	98.73957082	
	3.00	99.77205112	
